wellName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,TVD
,M,INCH,INCH,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,m
Cheal-A12,643.585,8.5,12.193,2.298,118.646,120.373,0.325,3.666,26.966,15.538,3.961,622.7031
Cheal-A12,643.738,8.5,9.634,2.294,119.709,108.74,0.373,3.63,25.733,14.795,4.03,622.8347
Cheal-A12,643.89,8.5,11.106,2.289,119.47,110.313,0.34,3.572,22.397,12.84,3.791,622.9654
Cheal-A12,644.042,8.5,11.908,2.286,119.12,113.113,0.32,3.537,22.348,12.452,3.82,623.0953
Cheal-A12,644.195,8.5,11.892,2.288,118.541,115.484,0.328,3.538,23.652,13.29,4.296,623.2238
Cheal-A12,644.347,8.5,12.077,2.287,117.783,112.729,0.328,3.588,24.748,14.095,5.465,623.3514
Cheal-A12,644.5,8.5,11.992,2.29,117.869,117.066,0.299,3.636,26.334,14.687,5.463,623.48
Cheal-A12,644.652,8.5,11.931,2.298,117.21,115.017,0.294,3.66,33.154,17.707,5.646,623.6077
Cheal-A12,644.804,8.5,8.809,2.305,116.839,107.974,0.301,3.623,40.454,21.289,5.966,623.7354
Cheal-A12,644.957,8.5,8.705,2.308,116.351,107.115,0.304,3.509,40.801,21.449,5.418,623.8639
Cheal-A12,645.109,8.5,8.647,2.301,115.945,111.928,0.294,3.39,38.956,20.468,4.987,623.9938
Cheal-A12,645.262,8.5,8.647,2.298,116.442,111.727,0.311,3.303,37.359,19.859,5.039,624.1254
Cheal-A12,645.414,8.5,8.609,2.301,116.975,112.996,0.335,3.268,33.691,18.571,5.268,624.256
Cheal-A12,645.566,8.5,8.566,2.298,117.376,111.079,0.341,3.342,30.473,17.464,5.207,624.3854
Cheal-A12,645.719,8.5,8.612,2.293,117.239,111.245,0.348,3.464,29.565,17.409,5.137,624.514
Cheal-A12,645.871,8.5,8.601,2.29,116.518,102.971,0.335,3.56,31.167,19.121,5.211,624.6417
Cheal-A12,646.024,8.5,8.52,2.301,115.4,103.159,0.352,3.516,33.769,21.886,5.529,624.7706
Cheal-A12,646.176,8.5,8.543,2.307,114.572,103.463,0.337,3.427,35.251,23.566,5.674,624.9014
Cheal-A12,646.328,8.5,8.566,2.307,114.482,110.781,0.345,3.342,35.131,23.845,5.655,625.0321
Cheal-A12,646.481,8.5,8.52,2.3,114.269,108.988,0.338,3.324,32.018,22.159,5.721,625.1636
Cheal-A12,646.633,8.5,8.52,2.299,114.008,108.581,0.331,3.326,29.27,20.488,6.334,625.2917
Cheal-A12,646.786,8.5,8.462,2.309,112.435,105.961,0.313,3.389,29.402,20.454,7.098,625.4202
Cheal-A12,646.938,8.5,8.416,2.328,103.832,105.527,0.306,3.515,31.698,21.551,7.65,625.5479
Cheal-A12,647.09,8.5,8.416,2.383,92.751,97.386,0.279,3.763,35.93,24.154,8.049,625.6774
Cheal-A12,647.243,8.5,8.47,2.46,82.103,81.568,0.219,4.075,55.632,36.633,10.793,625.809
Cheal-A12,647.395,8.5,8.543,2.529,73.913,67.548,0.165,4.369,104.217,66.313,18.305,625.9397
Cheal-A12,647.548,8.5,8.659,2.551,70.132,53.115,0.135,4.522,108.247,68.403,23.95,626.0704
Cheal-A12,647.7,8.5,8.493,2.544,72.178,49.635,0.134,4.546,78.482,51.588,23.586,626.198
Cheal-A12,647.852,8.5,8.439,2.53,74.589,44.361,0.136,4.476,76.509,52.379,27.541,626.3257
Cheal-A12,648.005,8.5,8.501,2.521,77.742,48.459,0.146,4.379,67.774,48.213,25.715,626.4542
Cheal-A12,648.157,8.5,8.462,2.505,77.816,46.713,0.149,4.25,64.099,46.91,22.514,626.5819
Cheal-A12,648.31,8.5,8.508,2.496,82.206,50.875,0.156,4.084,55.477,41.639,18.644,626.7104
Cheal-A12,648.462,8.5,8.508,2.462,91.277,54.086,0.168,3.803,81.814,61.3,19.275,626.8381
Cheal-A12,648.614,8.5,8.585,2.394,100.48,63.922,0.209,3.474,65.752,50.354,12.152,626.968
Cheal-A12,648.767,8.5,8.508,2.309,109.372,74.07,0.267,3.149,52.917,40.597,10.715,627.0996
Cheal-A12,648.919,8.5,8.532,2.259,114.971,83.326,0.306,2.952,54.108,40.524,12.599,627.2303
Cheal-A12,649.072,8.5,8.539,2.273,101,82.908,0.311,2.927,56.968,42.28,13.122,627.3605
Cheal-A12,649.224,8.5,8.585,2.334,94.341,79.349,0.266,3.101,63.165,47.033,11.424,627.4882
Cheal-A12,649.376,8.5,8.639,2.389,87.95,73.353,0.224,3.341,94.071,67.733,13.422,627.6158
Cheal-A12,649.529,8.5,8.67,2.432,82.833,70.847,0.195,3.516,76.262,54.837,13.421,627.7449
Cheal-A12,649.681,8.5,8.543,2.447,86.935,65.155,0.194,3.552,69.018,49.756,13.53,627.8757
Cheal-A12,649.834,8.5,8.555,2.451,88.751,67.176,0.195,3.48,71.54,50.812,15.653,628.0073
